project,from_fqs_alt,to_fqs_alt,from_url,to_url
commons-io,org.apache.commons.io.FileUtilsTestCase.testReadFileToByteArray(),org.apache.commons.io.FileUtils.readFileToByteArray(File),https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1950,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1812
commons-io,org.apache.commons.io.output.DeferredFileOutputStreamTest.testTempFileBelowThreshold(),"org.apache.commons.io.output.ThresholdingOutputStream.write(byte[], int, int)",https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/DeferredFileOutputStreamTest.java#L244,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/ThresholdingOutputStream.java#L126
commons-io,org.apache.commons.io.FileUtilsTestCase.testCopyDirectoryToDirectory_NonExistingDest(),"org.apache.commons.io.FileUtils.copyDirectoryToDirectory(File, File)",https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/FileUtilsTestCase.java#L1294,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/FileUtils.java#L1196
commons-io,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),"org.apache.commons.io.output.WriterOutputStream.WriterOutputStream(Writer, String)",https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L189
commons-io,org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStream.write(int),https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/output/WriterOutputStreamTest.java#L73,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/output/WriterOutputStream.java#L246
commons-io,org.apache.commons.io.input.AutoCloseInputStreamTest.testClose(),org.apache.commons.io.input.AutoCloseInputStream.close(),https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/AutoCloseInputStreamTest.java#L54,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/AutoCloseInputStream.java#L64
commons-io,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.getCount(),https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L89
commons-io,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),org.apache.commons.io.input.CountingInputStream.resetCount(),https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/CountingInputStream.java#L107
commons-io,org.apache.commons.io.input.CountingInputStreamTest.testResetting(),"org.apache.commons.io.input.ProxyInputStream.read(byte[], int, int)",https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/input/CountingInputStreamTest.java#L106,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/input/ProxyInputStream.java#L97
commons-io,org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.read(ReadableByteChannel, ByteBuffer)",https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/test/java/org/apache/commons/io/IOUtilsTestCase.java#L603,https://github.com/apache/commons-io/blob/4077158829de92987367d3149e4ba71356bb5390/src/main/java/org/apache/commons/io/IOUtils.java#L2947
