project,from_tctracer_fqs,to_tctracer_fqs,from_url,to_url
dubbo,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.setFuture(CompletableFuture),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L76
dubbo,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.getContext(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L41
dubbo,org.apache.dubbo.rpc.FutureContextTest.testFutureContext(),org.apache.dubbo.rpc.FutureContext.getCompletableFuture(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/FutureContextTest.java#L30,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/FutureContext.java#L61
dubbo,org.apache.dubbo.rpc.filter.EchoFilterTest.testNonEcho(),"org.apache.dubbo.rpc.filter.EchoFilter.invoke(Invoker, Invocation)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/EchoFilterTest.java#L51,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/EchoFilter.java#L37
dubbo,org.apache.dubbo.rpc.support.RpcUtilsTest.testIsReturnTypeFuture(),org.apache.dubbo.rpc.support.RpcUtils.isReturnTypeFuture(Invocation),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/RpcUtilsTest.java#L581,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/RpcUtils.java#L193
dubbo,org.apache.dubbo.rpc.support.MockInvokerTest.testGetMockObject(),"org.apache.dubbo.rpc.support.MockInvoker.getMockObject(ExtensionDirector, String, Class)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/MockInvokerTest.java#L123,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockInvoker.java#L179
dubbo,org.apache.dubbo.rpc.proxy.bytebuddy.ByteBuddyProxyInvokerTest.testNewInstance(),"org.apache.dubbo.rpc.proxy.bytebuddy.ByteBuddyProxyInvoker.newInstance(T, Class, URL)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/proxy/bytebuddy/ByteBuddyProxyInvokerTest.java#L29,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/proxy/bytebuddy/ByteBuddyProxyInvoker.java#L53
dubbo,org.apache.dubbo.rpc.filter.tps.StatItemTest.testConcurrency(),org.apache.dubbo.rpc.filter.tps.StatItem.isAllowable(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/tps/StatItemTest.java#L64,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/filter/tps/StatItem.java#L46
dubbo,org.apache.dubbo.rpc.protocol.ProtocolListenerWrapperTest.testLoadingListenerForRemoteReference(),"org.apache.dubbo.rpc.protocol.ProtocolListenerWrapper.refer(Class, URL)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/protocol/ProtocolListenerWrapperTest.java#L85,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/protocol/ProtocolListenerWrapper.java#L82
dubbo,org.apache.dubbo.rpc.support.RpcUtilsTest.testIsGenericCall(),"org.apache.dubbo.rpc.support.RpcUtils.isGenericCall(String, String)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/RpcUtilsTest.java#L564,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/RpcUtils.java#L208
dubbo,org.apache.dubbo.rpc.CancellationContextTest.testAddListenerAfterCancel(),org.apache.dubbo.rpc.CancellationContext.addListener(CancellationListener),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/CancellationContextTest.java#L49,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/CancellationContext.java#L35
dubbo,org.apache.dubbo.rpc.support.MockInvokerTest.testInvoke(),org.apache.dubbo.rpc.support.MockInvoker.invoke(Invocation),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/support/MockInvokerTest.java#L55,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/support/MockInvoker.java#L100
dubbo,org.apache.dubbo.rpc.TimeoutCountDownTest.testTimeoutCountDown(),"org.apache.dubbo.rpc.TimeoutCountDown.newCountDown(long, TimeUnit)",https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/TimeoutCountDownTest.java#L27,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/TimeoutCountDown.java#L23
dubbo,org.apache.dubbo.rpc.TimeoutCountDownTest.testTimeoutCountDown(),org.apache.dubbo.rpc.TimeoutCountDown.timeRemaining(TimeUnit),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/TimeoutCountDownTest.java#L27,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/TimeoutCountDown.java#L51
dubbo,org.apache.dubbo.rpc.TimeoutCountDownTest.testTimeoutCountDown(),org.apache.dubbo.rpc.TimeoutCountDown.getTimeoutInMilli(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/TimeoutCountDownTest.java#L27,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/TimeoutCountDown.java#L36
dubbo,org.apache.dubbo.rpc.TimeoutCountDownTest.testTimeoutCountDown(),org.apache.dubbo.rpc.TimeoutCountDown.isExpired(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/TimeoutCountDownTest.java#L27,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/TimeoutCountDown.java#L40
dubbo,org.apache.dubbo.rpc.TimeoutCountDownTest.testTimeoutCountDown(),org.apache.dubbo.rpc.TimeoutCountDown.elapsedMillis(),https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/TimeoutCountDownTest.java#L27,https://github.com/apache/dubbo/blob/1dd6a4aaa8816cf3f1585769dfff4f325e4ecd15/dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/TimeoutCountDown.java#L59
