project,from_fqs_alt,to_fqs_alt,from_url,to_url
gson,com.google.gson.functional.ExposeFieldsTest.testNullExposeFieldSerialization(),com.google.gson.Gson.toJson(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/ExposeFieldsTest.java#L46,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579
gson,com.google.gson.functional.SerializedNameTest.testFirstNameIsChosenForSerialization(),com.google.gson.Gson.toJson(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/SerializedNameTest.java#L26,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579
gson,com.google.gson.functional.CircularReferenceTest.testDirectedAcyclicGraphSerialization(),com.google.gson.Gson.toJson(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/CircularReferenceTest.java#L97,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579
gson,com.google.gson.regression.JsonAdapterNullSafeTest.testNullSafeBugSerialize(),com.google.gson.Gson.toJson(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/regression/JsonAdapterNullSafeTest.java#L29,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579
gson,com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),com.google.gson.Gson.toJson(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L94,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L579
gson,com.google.gson.functional.StringTest.testStringValueAsSingleElementArraySerialization(),"com.google.gson.Gson.toJson(Object, Type)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L94,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L601
gson,com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapNoTypeSerialization(),"com.google.gson.Gson.toJsonTree(Object, Type)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/DefaultMapJsonSerializerTest.java#L34,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L560
gson,com.google.gson.DefaultMapJsonSerializerTest.testEmptyMapSerialization(),"com.google.gson.Gson.toJsonTree(Object, Type)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/DefaultMapJsonSerializerTest.java#L42,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L560
gson,com.google.gson.functional.JsonTreeTest.testToJsonTree(),com.google.gson.Gson.toJsonTree(Object),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/JsonTreeTest.java#L29,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L537
gson,com.google.gson.stream.JsonReaderPathTest.path(),com.google.gson.stream.JsonReader.getPath(),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/stream/JsonReaderPathTest.java#L46,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/stream/JsonReader.java#L1458
gson,com.google.gson.functional.SerializedNameTest.testMultipleNamesDeserializedCorrectly(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/SerializedNameTest.java#L32,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
gson,com.google.gson.functional.StringTest.testStringWithEscapedSlashDeserialization(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L100,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
gson,com.google.gson.functional.StringTest.testEscapedCtrlRInStringDeserialization(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L57,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
gson,com.google.gson.functional.StringTest.testAssignmentCharDeserialization(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L119,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
gson,com.google.gson.functional.StringTest.testEscapedBackslashInStringDeserialization(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L69,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
gson,com.google.gson.JsonStreamParserTest.testNoSideEffectForHasNext(),com.google.gson.JsonStreamParser.hasNext(),https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/JsonStreamParserTest.java#L51,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/JsonStreamParser.java#L102
gson,com.google.gson.functional.StringTest.testJavascriptKeywordsInStringDeserialization(),"com.google.gson.Gson.fromJson(String, Class)",https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/test/java/com/google/gson/functional/StringTest.java#L135,https://github.com/google/gson/blob/e9ead40302b3466f557a82f924907de59462deb9/gson/src/main/java/com/google/gson/Gson.java#L772
