project,from_fqs_alt,to_fqs_alt,from_url,to_url
jenkins,jenkins.model.JenkinsGetRootUrlTest.getConfiguredRootUrl(),jenkins.model.Jenkins.getRootUrl(),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/model/JenkinsGetRootUrlTest.java#L59,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/model/Jenkins.java#L2447
jenkins,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),jenkins.widgets.HistoryPageFilter.setSearchString(String),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L110
jenkins,jenkins.widgets.HistoryPageFilterTest.should_search_builds_by_build_params(),"jenkins.widgets.HistoryPageFilter.add(Iterable, List)",https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/widgets/HistoryPageFilterTest.java#L351,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/widgets/HistoryPageFilter.java#L131
jenkins,hudson.model.FingerprintTest.removeAll1(),hudson.model.Fingerprint.RangeSet.removeAll(RangeSet),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/model/FingerprintTest.java#L178,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/Fingerprint.java#L543
jenkins,hudson.UtilTest.testModeToPermissions(),hudson.Util.modeToPermissions(int),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/UtilTest.java#L537,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/Util.java#L1708
jenkins,jenkins.security.RedactSecretJsonInErrorMessageSanitizerTest.redactedKeyWithoutCorrespondences(),jenkins.security.RedactSecretJsonInErrorMessageSanitizer.sanitize(JSONObject),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/jenkins/security/RedactSecretJsonInErrorMessageSanitizerTest.java#L102,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/jenkins/security/RedactSecretJsonInErrorMessageSanitizer.java#L50
jenkins,hudson.UtilTest.testIsSafeToRedirectTo(),hudson.Util.isSafeToRedirectTo(String),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/UtilTest.java#L419,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/Util.java#L1646
jenkins,hudson.model.UpdateCenterTest.toUpdateCenterCheckUrl_file(),hudson.model.UpdateCenter.UpdateCenterConfiguration.toUpdateCenterCheckUrl(String),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/model/UpdateCenterTest.java#L46,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/model/UpdateCenter.java#L1200
jenkins,hudson.util.CyclicGraphDetectorTest.cycle2(),hudson.util.CyclicGraphDetector.run(Iterable),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/util/CyclicGraphDetectorTest.java#L80,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/util/CyclicGraphDetector.java#L22
jenkins,hudson.util.io.RewindableRotatingFileOutputStreamTest.rotation(),hudson.util.io.RewindableRotatingFileOutputStream.rewind(),https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/test/java/hudson/util/io/RewindableRotatingFileOutputStreamTest.java#L26,https://github.com/jenkinsci/jenkins/blob/bd1d3f7d0effa57d1c5d2e8b0f497c61c9303935/core/src/main/java/hudson/util/io/RewindableRotatingFileOutputStream.java#L61
